index,latency,jitter,recv-time,recv-size
4704,0.000206,3.0000000000000187e-06,1648493060285368237,55
4705,0.000172,3.3999999999999986e-05,1648493060286312544,55
4706,0.000214,4.199999999999999e-05,1648493060287407141,55
4707,0.000181,3.299999999999999e-05,1648493060288450715,55
4708,0.000202,2.0999999999999995e-05,1648493060289402503,55
4709,0.000263,6.099999999999999e-05,1648493060290650760,55
4710,0.000258,5.000000000000013e-06,1648493060291709688,55
4711,0.000275,1.7000000000000034e-05,1648493060292749133,55
4712,0.000221,5.400000000000001e-05,1648493060293657333,55
4713,0.000212,9.000000000000002e-06,1648493060294685303,55
4714,0.000213,9.999999999999972e-07,1648493060295672940,55
4715,0.000198,1.5000000000000012e-05,1648493060296685104,55
4716,0.000193,4.999999999999986e-06,1648493060297725222,55
4717,0.000228,3.500000000000001e-05,1648493060298944662,55
4718,0.000244,1.5999999999999982e-05,1648493060299909704,55
4719,0.000216,2.8000000000000003e-05,1648493060300857300,55
4720,0.000215,9.999999999999972e-07,1648493060301886161,55
4721,0.000245,2.9999999999999997e-05,1648493060302931553,55
4722,0.000239,5.999999999999983e-06,1648493060303924649,55
4723,0.000223,1.600000000000001e-05,1648493060304902102,55
4724,0.000241,1.8000000000000004e-05,1648493060305942789,55
4725,0.00021,3.0999999999999995e-05,1648493060306913442,55
4726,0.00023,1.9999999999999998e-05,1648493060307947391,55
4727,0.000222,8.000000000000005e-06,1648493060308997728,55
4728,0.000254,3.199999999999999e-05,1648493060310116141,55
4729,0.000217,3.7000000000000005e-05,1648493060311109349,55
4730,0.00024,2.3000000000000017e-05,1648493060312176528,55
4731,0.00021,2.9999999999999997e-05,1648493060313115891,55
4732,0.000193,1.7000000000000007e-05,1648493060314098175,55
4733,0.00021,1.7000000000000007e-05,1648493060315140959,55
4734,0.00023,1.9999999999999998e-05,1648493060316188884,55
4735,0.000216,1.4000000000000015e-05,1648493060317166676,55
4736,0.000213,2.9999999999999916e-06,1648493060318163263,55
4737,0.000221,8.000000000000005e-06,1648493060319213797,55
4738,0.000213,8.000000000000005e-06,1648493060320179088,55
4739,0.000184,2.9e-05,1648493060321127719,55
4740,0.000198,1.3999999999999988e-05,1648493060322158156,55
4741,0.000226,2.8000000000000003e-05,1648493060323220223,55
4742,0.000244,1.8000000000000004e-05,1648493060324402824,55
4743,0.000234,9.999999999999999e-06,1648493060325300723,55
4744,0.000231,2.9999999999999916e-06,1648493060326357734,55
4745,0.00024,9.000000000000002e-06,1648493060327365241,55
4746,0.000229,1.0999999999999996e-05,1648493060328345019,55
4747,0.000229,0.0,1648493060329358968,55
4748,0.000222,7.0000000000000075e-06,1648493060330371800,55
4749,0.000235,1.299999999999999e-05,1648493060331406130,55
4750,0.000206,2.9e-05,1648493060332345702,55
4751,0.0002,5.999999999999983e-06,1648493060333341595,55
4752,0.000173,2.7000000000000006e-05,1648493060334308433,55
4753,0.000245,7.199999999999999e-05,1648493060335452516,55
4754,0.000219,2.599999999999998e-05,1648493060336457664,55
4755,0.000212,7.0000000000000075e-06,1648493060337433119,55
4756,0.000224,1.1999999999999994e-05,1648493060338451842,55
4757,0.00022,3.999999999999989e-06,1648493060339457895,55
4758,0.000219,9.999999999999972e-07,1648493060340453001,55
4759,0.000221,1.9999999999999944e-06,1648493060341459123,55
4760,0.000193,2.8000000000000003e-05,1648493060342459612,55
4761,0.000197,3.999999999999989e-06,1648493060343478077,55
4762,0.000205,8.000000000000005e-06,1648493060344491011,55
4763,0.000234,2.9e-05,1648493060345562204,55
4764,0.000201,3.299999999999999e-05,1648493060346573289,55
4765,0.000185,1.600000000000001e-05,1648493060347520034,55
4766,0.000171,1.3999999999999988e-05,1648493060348502284,55
4767,0.000151,1.9999999999999998e-05,1648493060349472313,55
4768,0.000179,2.7999999999999976e-05,1648493060350568655,55
4769,0.000176,2.9999999999999916e-06,1648493060351560152,55
4770,0.000173,2.9999999999999916e-06,1648493060352544533,55
4771,0.000147,2.600000000000001e-05,1648493060353493449,55
4772,0.000149,1.9999999999999944e-06,1648493060354561584,55
4773,0.000218,6.900000000000002e-05,1648493060355830286,55
4774,0.000194,2.4000000000000014e-05,1648493060356636144,55
4775,0.000202,8.000000000000005e-06,1648493060357657320,55
4776,0.000177,2.500000000000001e-05,1648493060358657806,55
4777,0.0002,2.3000000000000017e-05,1648493060359677561,55
4778,0.000176,2.4000000000000014e-05,1648493060360692274,55
4779,0.000197,2.0999999999999995e-05,1648493060361701894,55
4780,0.000179,1.8000000000000004e-05,1648493060362685824,55
4781,0.000198,1.9e-05,1648493060363728491,55
4782,0.000174,2.3999999999999987e-05,1648493060364689151,55
4783,0.000173,9.999999999999972e-07,1648493060365699013,55
4784,0.000184,1.0999999999999996e-05,1648493060366880339,55
4785,0.000191,7.0000000000000075e-06,1648493060367771537,55
4786,0.000185,6.00000000000001e-06,1648493060368760720,55
4787,0.000189,4.000000000000016e-06,1648493060369790047,55
4788,0.000169,2.0000000000000025e-05,1648493060370756133,55
4789,0.000184,1.5000000000000012e-05,1648493060371811774,55
4790,0.000199,1.5000000000000012e-05,1648493060372843601,55
4791,0.000178,2.1000000000000023e-05,1648493060373823107,55
4792,0.000174,3.999999999999989e-06,1648493060374823725,55
4793,0.000167,7.0000000000000075e-06,1648493060375812766,55
4794,0.000188,2.0999999999999995e-05,1648493060376867346,55
4795,0.000226,3.8e-05,1648493060377977461,55
4796,0.000174,5.199999999999999e-05,1648493060378890643,55
4797,0.000174,0.0,1648493060380054063,55
4798,0.000211,3.7000000000000005e-05,1648493060381047487,55
4799,0.000184,2.7000000000000006e-05,1648493060382026604,55
4800,0.000189,5.000000000000013e-06,1648493060383056004,55
4801,0.000189,0.0,1648493060384063531,55
4802,0.000188,1.0000000000000243e-06,1648493060385150974,55
4803,0.00019,2.0000000000000215e-06,1648493060386098118,55
4804,0.000191,9.999999999999972e-07,1648493060387311347,55
4805,0.000178,1.3000000000000018e-05,1648493060388137742,55
4806,0.000165,1.299999999999999e-05,1648493060389140894,55
4807,0.000173,8.000000000000005e-06,1648493060390192927,55
4808,0.00016,1.299999999999999e-05,1648493060391272931,55
4809,0.000186,2.599999999999998e-05,1648493060392283723,55
4810,0.000192,6.00000000000001e-06,1648493060393343993,55
4811,0.000192,0.0,1648493060394421107,55
4812,0.000191,9.999999999999972e-07,1648493060395455928,55
4813,0.000192,9.999999999999972e-07,1648493060396455844,55
4814,0.000197,4.999999999999986e-06,1648493060397480833,55
4815,0.000186,1.0999999999999996e-05,1648493060398677761,55
4816,0.000191,5.000000000000013e-06,1648493060399559580,55
4817,0.000198,6.99999999999998e-06,1648493060400586742,55
4818,0.000185,1.299999999999999e-05,1648493060401574606,55
4819,0.000174,1.0999999999999996e-05,1648493060402603548,55
4820,0.000178,3.999999999999989e-06,1648493060403607752,55
4821,0.00018,2.0000000000000215e-06,1648493060404643826,55
4822,0.000157,2.3000000000000017e-05,1648493060405578978,55
4823,0.00018,2.3000000000000017e-05,1648493060406674928,55
4824,0.000177,3.0000000000000187e-06,1648493060407610954,55
4825,0.000189,1.200000000000002e-05,1648493060408665751,55
4826,0.000204,1.4999999999999985e-05,1648493060409702944,55
4827,0.000167,3.7000000000000005e-05,1648493060410652085,55
4828,0.000174,7.0000000000000075e-06,1648493060411663988,55
4829,0.000187,1.299999999999999e-05,1648493060412727415,55
4830,0.000178,9.000000000000002e-06,1648493060413711697,55
4831,0.000171,6.99999999999998e-06,1648493060414711289,55
4832,0.000181,9.999999999999999e-06,1648493060415750523,55
4833,0.000169,1.200000000000002e-05,1648493060416731060,55
4834,0.000184,1.5000000000000012e-05,1648493060417796933,55
4835,0.000187,2.9999999999999916e-06,1648493060418810025,55
4836,0.000184,2.9999999999999916e-06,1648493060419815599,55
4837,0.000196,1.1999999999999994e-05,1648493060420874797,55
4838,0.000178,1.8000000000000004e-05,1648493060421849973,55
4839,0.000184,6.00000000000001e-06,1648493060422886211,55
4840,0.000184,0.0,1648493060423911534,55
4841,0.000175,9.000000000000002e-06,1648493060424904620,55
4842,0.00019,1.5000000000000012e-05,1648493060425993901,55
4843,0.000196,5.999999999999983e-06,1648493060427061166,55
4844,0.000183,1.299999999999999e-05,1648493060428025894,55
4845,0.000187,3.999999999999989e-06,1648493060429074846,55
4846,0.000181,5.999999999999983e-06,1648493060430027143,55
4847,0.000186,4.999999999999986e-06,1648493060431041357,55
4848,0.000177,9.000000000000002e-06,1648493060432030799,55
4849,0.00018,3.0000000000000187e-06,1648493060433049090,55
4850,0.000197,1.699999999999998e-05,1648493060434089179,55
4851,0.00018,1.699999999999998e-05,1648493060435076503,55
4852,0.000178,2.0000000000000215e-06,1648493060436092761,55
4853,0.000187,9.000000000000002e-06,1648493060437124901,55
4854,0.000215,2.8000000000000003e-05,1648493060438166488,55
4855,0.00021,4.999999999999986e-06,1648493060439189705,55
4856,0.000203,7.0000000000000075e-06,1648493060440239818,55
4857,0.000193,9.999999999999999e-06,1648493060441266706,55
4858,0.000177,1.600000000000001e-05,1648493060442235453,55
4859,0.000207,2.9999999999999997e-05,1648493060443304937,55
4860,0.000173,3.3999999999999986e-05,1648493060444243368,55
4861,0.000214,4.0999999999999994e-05,1648493060445349519,55
4862,0.000186,2.8000000000000003e-05,1648493060446311404,55
4863,0.000197,1.0999999999999996e-05,1648493060447363868,55
4864,0.000197,0.0,1648493060448382215,55
4865,0.000177,1.9999999999999998e-05,1648493060449375869,55
4866,0.000177,0.0,1648493060450449028,55
4867,0.000197,1.9999999999999998e-05,1648493060451502005,55
4868,0.000196,9.999999999999972e-07,1648493060452529605,55
4869,0.000188,8.000000000000005e-06,1648493060453586147,55
4870,0.000179,9.000000000000002e-06,1648493060454585782,55
4871,0.000179,0.0,1648493060455612702,55
4872,0.000208,2.9e-05,1648493060456666152,55
4873,0.000175,3.299999999999999e-05,1648493060457604230,55
4874,0.000196,2.0999999999999995e-05,1648493060458710912,55
4875,0.0002,4.000000000000016e-06,1648493060459733459,55
4876,0.000208,7.999999999999978e-06,1648493060460736228,55
4877,0.000191,1.699999999999998e-05,1648493060461729977,55
4878,0.000354,0.00016299999999999998,1648493060463258819,55
4879,0.000242,0.00011199999999999998,1648493060463922029,55
